,ruleid,rule,upi,fresp,code_nb,code_jpf,resolved_code,neil notes
53,3,Nothing is upright,pcebewminm,"when there is only red block
when there is no blue block",multiple,different,NA,"multiple (or else we remove multiple category and think of this as implying an ""or""….)"
54,3,Nothing is upright,aezlpkseyg,I dont know. three triangles with two propped sideways against each other and the other off to the side sideways?,overspecific,different,NA,I think overspecific because they seem to imply only those three nonupright objects…. But agree slightly ambiguous
55,3,Nothing is upright,toafksdbom,The yok for sure cant be straight up and down. I only tested the blue so Im not sure if it applies to other colors as well. ,correct,overspecific,NA,"I think correct, the second sentence doesn't really do anything"
56,3,Nothing is upright,rlthgmsegt,It seemed like the yoks had to be on their sides for the stars to come out.,overliberal,correct,NA,"I'm inclined to go with you on these (since its not at all clear that there's another orientation than upright and on side),so correct?"
57,3,Nothing is upright,wxghchdwtc,All of the yoks had to be tilted onto their side regardless of size or color. ,overliberal,correct,NA,correct?
58,3,Nothing is upright,zblqdccjyg,"All Bemmies are laying down, not upright and standing. ",correct,overspecific,NA,correct?
59,3,Nothing is upright,zvqbvbzaox,all triangles have to be on their side,overliberal,correct,NA,I don't know why I was selecting overliberal instead of overspecific… inclined to correct
60,3,Nothing is upright,rdsmyidehb,"This is difficult, do your best to make the triangles fall on their sides to make the stars come out.",overliberal,correct,NA,"the do your best bit made me think they just think that some need to be on side not all…. Maybe ""vague""?"
61,4,One is blue,bhdujwkcbn,Need one of each color to be present,overspecific,different,NA,I think overspecific
62,4,One is blue,pvydutloyc,There must be one blue kovas. There cannot be more than one.,correct,overspecific,NA,"correct I tink, second sentence just clarifies the first (I.e. pertains to the blues not the blocks in general)"
63,4,One is blue,diwvecfaqr,must be touching or not touching of a different color,vague,different,NA,a different colour than what? I think vague
64,4,One is blue,ueeodbekmp,A Tig must include one block of each different color and at lest two different sizes. ,overspecific,different,NA,"I still think overspecific since implies 1 blue, but also other stuff"
65,4,One is blue,qqvfwssvmb,there must be one block of each color.,overspecific,different,NA,"I think overspecific since implies 1 blue, but also other stuff"
66,4,One is blue,pcebewminm,when there is  different type of size in all color,vague,different,NA,"I can't parse it, so vague?"
67,4,One is blue,hccfdfsuum,different colors ,vague,different,NA,vague?
68,4,One is blue,zbggjxcvuu,some up and some are sideways,different,vague,NA,"well its possible to express, i.e. exists something upright and exists something not upright. So different?"
69,4,One is blue,hxgoohdfvi,"I think that bennies shoot stars out of them as long as a block of each color (one red, one green, one blue) is used no matter what size or how they are placed.",overspecific,different,NA,I think overspecific as above
70,4,One is blue,rlthgmsegt,"I could not really tell for this one. The triangles that included blue or red always seemed to have stars come out , but I am not 100% sure.",different,overliberal,NA,how about vague? Or no rule? You decide!
71,4,One is blue,mikejpbltc,As long as you have at least one blue tig but no more then 2 blue tigs then the stars will come out. ,correct,overliberal,NA,I think correct because second sentence is redundant / doesn't change the meaning.
72,5,There is a small blue,pcebewminm,"when there is one small blue block
when there is two green and two red
when there is no green",multiple,overliberal,NA,I think multiple because of use of multiple lines
73,5,There is a small blue,psbaqbrwjt,"All the green blocks are as big or bigger than the blue blocks, with at least one blue block",different,overliberal,NA,"hmmm, depends if ""all the green blocks"" implies their existence, but maybe not, so sure, overliberal."
74,5,There is a small blue,hccfdfsuum,All blocks should be small,overliberal,different,NA,"agree different, doesn't say there's a blue"
75,5,There is a small blue,rlthgmsegt,"It was hard to say , but I think if I included medium or smaller sized items, stars would come out. All large seemed to not work.",vague,overliberal,NA,"hard to parse, shall we say vague?"
76,5,There is a small blue,rdsmyidehb,"The crazier the design, the better your chances.",vague,no rule,NA,agree no rule
77,1,There is a red,qcgxizxcem,A red block must be being touched by another block.,overspecific,different,NA,"I think this is overspecific, agree?"
