,ruleid,rule,upi,fresp,code,,notes,Codes:
35,1,There is a red,tdozurlsah,they stack on each other to make the stars come out,d,,,
36,1,There is a red,yxvfdkoyfy,you can do whatever you want but you just have to stack them up,d,,,
37,1,There is a red,xbrfrfvylp,red is going to be big and blue is going to be medium and green is going to be small,o,,,
38,1,There is a red,azojgnqhin,one has to be on top of each other and there needs to be one that is not touching anything,d,,,
39,1,There is a red,ncfdqtjgzx,the color red has to be in them,c,,,
40,1,There is a red,zlosupqcpk,there has to be two of the same color they cannot be the same size and the other kova that is a different color has to be touching one of them,d,,,
41,1,There is a red,idctlavwmn,there has to be a red one,c,,,
42,1,There is a red,wswqcsomwl,there has to be one kova with another one on it and one another one by side also the kova on top has to be a different color than the one it is on,d,,,
43,1,There is a red,ocxraeygfp,at least two of the tigs need to touch,d,,,
44,1,There is a red,asqvqojvif,there needs to be a green and a red special block,o,,,
45,1,There is a red,jfzfqqzvmb,one medium pimwit has to be on top of the large pimwit and there has to be one small one to the side not on top,d,,,
46,1,There is a red,onlemdbnfq,there has to be a block on top of another block and there has to be .either a smaller or bigger block,d,,,
47,1,There is a red,aslbalavqe,you need to use red,c,,,
48,2,all are the same size,mesbxrjdpg,there has to be two greens and one red and they have to be the same size,o,,,
49,2,all are the same size,zwrcdrrtwi,there cannot be any pimwits if there are one big blue and one medium blue,d,,,
50,2,all are the same size,hibacpjdfh,they can all be the same size and they do not have to be facing the same direction and they can be one two or three,o,,,
51,2,all are the same size,ovngoiiqro,you can only put them upright,d,,,
52,2,all are the same size,jafwjckfvc,there has to be two of the same color and the same size and one of a different color and the same size,d,,,
53,2,all are the same size,cgilusiyxy,all of them have to be sitting up,d,,,
54,2,all are the same size,wdrpuuyzji,they have to all be the same size,c,,,
55,2,all are the same size,yjheaxptzh,they have to all be standing,d,,,
56,2,all are the same size,sgygmhiwae,they all just have to be standing there,d,,,
57,2,all are the same size,lwtvybinkx,there is two of one color and one of one color and two different colors has to sit together on one side and one of the matching colors has to sit on the opposite side,d,,,
58,2,all are the same size,hqdzvryszc,they all have to be the same size,c,,,
59,2,all are the same size,dbkujocwxr,do not know,n,,,
60,2,all are the same size,yrwbanxlsw,they all have to be similar to the example,n,,,
61,2,all are the same size,arybnplgmd,they each have to be separate but next to each other in some way,n,,,
62,2,all are the same size,veyjvlxish,two have to be next to each other and one far away,d,,,
63,2,all are the same size,zmtqpimofq,they all are supposed to be standing,d,,,
64,2,all are the same size,fyyogkywea,blocks of the same color cannot touch,d,,,
65,2,all are the same size,mkzkmzxgrf,you have to use a lot of the larger ones,v,,,
66,2,all are the same size,reowfvdqqu,the red has to be right side up,d,,,
67,2,all are the same size,ywlzebnwkb,do not know,n,,,
68,2,all are the same size,rxnythfslb,they all have to be different some are sideways and some are straight up,v,,,
69,2,all are the same size,dhpdbgcmjp,they are not touching and they are all different colors,d,,,
70,2,all are the same size,umjngnkkko,the yoks have to be straight up,d,,,
71,2,all are the same size,shvmpeoloq,they have to have more than one color and they have to have more than two pieces possibly one has to be pointing up,d,,,
72,2,all are the same size,qosdofjwwl,two of one color one of another and they all have to be the same size,o,,,
73,2,all are the same size,djldhhbvei,there needs to be three big ones,d,,,
74,2,all are the same size,mqxmdwvlai,they all have to be the same size and they all have to be standing up,o,,,
75,2,all are the same size,jgruymmhtv,you cannot stack them on top of each other and they all have to be the same size but not the same color,o,,,
76,2,all are the same size,alyxzksgke,three blocks of the same size,u,,,
77,2,all are the same size,guldlbnobg,how many are completely standing up,n,,,
78,2,all are the same size,kgelyqjiet,they have to be the same size,c,,,
79,2,all are the same size,hxdomhiend,not that much use,n,,,
80,2,all are the same size,tdozurlsah,none of them should be facing out,v,,,
81,2,all are the same size,ciwzlkkruo,all vertical when they are together they have to be the same size,o,,,
82,2,all are the same size,yxvfdkoyfy,you can do it however you can and you can still make it into a pattern,n,,,
83,2,all are the same size,xbrfrfvylp,they all have to be in the same side or same shape,o,,,
84,2,all are the same size,azojgnqhin,they must form a pattern and they all must be of the same size,o,pattern? Maybe v?,,
85,2,all are the same size,ncfdqtjgzx,at least bigs,v,,,
86,2,all are the same size,zlosupqcpk,they all have to be the same size and two of the tigs have to be the same color,o,,,
87,2,all are the same size,idctlavwmn,all the bemmies have to be the same size,c,,,
88,2,all are the same size,wswqcsomwl,they have to be the same size,c,,,
89,2,all are the same size,dovkssrwtq,two triangles have to be same color and one has to be a different color,d,,,
90,2,all are the same size,ocxraeygfp,at least two of the same size yoks have to be touched but they have to be different colors,d,,,
91,2,all are the same size,asqvqojvif,there cannot be more than two shapes at a time,d,,,
92,2,all are the same size,jfzfqqzvmb,two have to be touching and one does not have to be touching,d,,,
93,2,all are the same size,onlemdbnfq,three of the same shape pimwits ,d,,,
94,2,all are the same size,aslbalavqe,you have to go by the colors red and green,d,,,
95,3,Nothing is upright,mesbxrjdpg,there has to be red and blue and the two reds have to be touching and they cant be overlapping,d,,,
96,3,Nothing is upright,zwrcdrrtwi,they have to be facing up and they cannot be on their side,d,,,
97,3,Nothing is upright,hibacpjdfh,they cannot be all the same color and they can be facing different ways or the same way,d,,,
98,3,Nothing is upright,ovngoiiqro,they cannot be upright,c,,,
99,3,Nothing is upright,jafwjckfvc,there has to be red blocks balanced on each other,d,,,
100,3,Nothing is upright,cgilusiyxy,they have to have no pieces on top of each other,d,,,
101,3,Nothing is upright,wdrpuuyzji,all of the shapes cannot be facing up,c,,,
102,3,Nothing is upright,yjheaxptzh,one block has to be leaning,u,,,
103,3,Nothing is upright,sgygmhiwae,the blue one has to just be slanted and one of the red points has to be touching one of the red sides,d,,,
104,3,Nothing is upright,lwtvybinkx,one pimwit has to be leaning on another pimwit and another one has to be facing them diagonally,d,,,
105,3,Nothing is upright,hqdzvryszc,they have to be pointing sideways either way but not up and down,o,,,
106,3,Nothing is upright,arybnplgmd,there has to be one on top of another that is slanted and one off to the side,d,,,
107,3,Nothing is upright,veyjvlxish,they have to be on top of each other,d,,,
108,3,Nothing is upright,zmtqpimofq,one corner must be up and not touching anything and probably needs something with it,v,,,
109,3,Nothing is upright,fyyogkywea,none of them can be upright,c,,,
110,3,Nothing is upright,mkzkmzxgrf,you have to use some of the larger red ones but they cannot be on top of each other,v,,,
111,3,Nothing is upright,reowfvdqqu,both of the red ones have to be down and the blue one has to be up,d,,,
112,3,Nothing is upright,cmmvtaucbc,you have to stack one of the smaller ones on the left hand side and the bigger one has to be tilted by seventy degrees and the other one has to be sideways but about five degrees up and the smaller one the tip has to face the right and there has to be a smaller block and it has to be a different color about three inches away and it has to be facing the left side,d,,,
113,3,Nothing is upright,rxnythfslb,they should be different,v,,,
114,3,Nothing is upright,dhpdbgcmjp,they are all touching,d,,,
115,3,Nothing is upright,umjngnkkko,three or two need to be stacked up on each other and one has to be on the side,d,,,
116,3,Nothing is upright,shvmpeoloq,you cannot have any piece pointing up,c,,,
117,3,Nothing is upright,qosdofjwwl,none of them can be facing up,c,,,
118,3,Nothing is upright,qbtjvqcoju,they have to be certain ways,v,could also be c if certain ways means != upright?,,
119,3,Nothing is upright,djldhhbvei,they need to have two big red ones,d,,,
120,3,Nothing is upright,wtoxeowgar,they cannot be standing up they have to be laying down and some of them have to be touching,o,,,
121,3,Nothing is upright,mqxmdwvlai,they cannot be facing straight up,c,,,
122,3,Nothing is upright,jgruymmhtv,they all have to be knocked down and they cannot all be the same color,o,,,
123,3,Nothing is upright,alyxzksgke,two of the same color have to be touching and the same size,d,,,
124,3,Nothing is upright,guldlbnobg,how many certain colors there are,v,,,
125,3,Nothing is upright,kgelyqjiet,they all have to be slanted,c,,,
126,3,Nothing is upright,hxdomhiend,there is not much stacking,v,,,
127,3,Nothing is upright,tdozurlsah,they go sideways with each other,c,might also be v?,,
128,3,Nothing is upright,ciwzlkkruo,pretty close together,v,,,
129,3,Nothing is upright,ojeosgkrxi,all of them are not the same,d,,,
130,3,Nothing is upright,yxvfdkoyfy,you can do any structure you can do whatever you want,n,,,
131,3,Nothing is upright,xbrfrfvylp,two of them are supposed to be the same way and one is supposed to be smaller and the other way from the others,d,,,
132,3,Nothing is upright,azojgnqhin,two of the pieces have to be on top of each other and there needs to be one piece that is not touching anything,d,,,
133,3,Nothing is upright,ncfdqtjgzx,none of them can stand up,c,,,
134,3,Nothing is upright,zlosupqcpk,they have to be different colors and sizes and you have to arrange them in a certain way,v,,,
135,3,Nothing is upright,idctlavwmn,do not know,n,,,
136,3,Nothing is upright,wswqcsomwl,there has to be at least two that face in separate directions,d,,,
137,3,Nothing is upright,ocxraeygfp,two pimwits need to be leaned onto each other and there needs to be another mini block of that color,d,,,
138,3,Nothing is upright,hcpsmvwzlp,none of the blocks can be upright,c,,,
139,3,Nothing is upright,asqvqojvif,the two red pieces need to be bunched together,d,,,
140,3,Nothing is upright,jfzfqqzvmb,they have to be connected like three or two of them,v,,,
141,3,Nothing is upright,onlemdbnfq,they have to be pointed to an angle and they have to be pointed to the side or down,o,,,
142,3,Nothing is upright,aslbalavqe,a smaller block cannot go on top of a bigger one and there always has to be a cube sideways,d,,,
143,4,One is blue,vcbkdskksk,you can just have one of each color,o,,,
144,4,One is blue,mesbxrjdpg,there has to be one of each type,d,,,
145,4,One is blue,zwrcdrrtwi,there has at be at least one little blue triangle,u,,,
146,4,One is blue,hibacpjdfh,they cannot all be standing up they have to be all slanted and they have to all be different colors,o,,,
147,4,One is blue,ovngoiiqro,you have to have all three colors,v,,,
148,4,One is blue,jafwjckfvc,there has to be a blue block,c,or maybe u if a block != 1?,,
149,4,One is blue,wdrpuuyzji,they have to be touching each other but if they are the same color they have to be on top of each other,d,,,
150,4,One is blue,yjheaxptzh,there can only be one block leaning,d,,,
151,4,One is blue,sgygmhiwae,one of them has to be touching it with its point in midair while there is just one standing there,d,,,
152,4,One is blue,lwtvybinkx,it does not matter what size but they have to be three different colors and two have to be leaning against each other and one has to be on the other side,d,,,
153,4,One is blue,hqdzvryszc,they have to be all the sizes and all the colors,d,,,
154,4,One is blue,yrwbanxlsw,there should be at least one color that is different from the others and they all have to be different sizes they do not have to be the same color,d,,,
155,4,One is blue,arybnplgmd,two different colors in weird formations near each other,d,,,
156,4,One is blue,veyjvlxish,one standing up and one tipping over on the one standing up and then one far away,d,,,
157,4,One is blue,zmtqpimofq,red and blue are supposed to be together green and blue are supposed to be together and green and red were not supposed to be together,d,,,
158,4,One is blue,fyyogkywea,there needs to be at  least one of the blue blocks,u,,,
159,4,One is blue,mkzkmzxgrf,most of them have to be standing up,v,,,
160,4,One is blue,reowfvdqqu,at least two of them have to be right side up,d,,,
161,4,One is blue,ywlzebnwkb,to put them apart from each other in a different way,v,,,
162,4,One is blue,rxnythfslb,three or four blocks,d,,,
163,4,One is blue,dhpdbgcmjp,two are touching and others are not,d,,,
164,4,One is blue,shvmpeoloq,there has to be more than one yok and there cannot be multiple of one color,d,,,
165,4,One is blue,qosdofjwwl,you have to have all three colors and all three sizes,d,,,
166,4,One is blue,qbtjvqcoju,they have to be straight up the other ones next to them have to be sideways,d,,,
167,4,One is blue,djldhhbvei,one of each color,o,,,
168,4,One is blue,wtoxeowgar,there has to be two touching and one standing but the one standing can have one on top instead of the one that is touching the other one on the ground,d,,,
169,4,One is blue,mqxmdwvlai,there cannot be any green and some have to be facing straight up and some have to be on the ground sideways,d,,,
170,4,One is blue,jgruymmhtv,you cannot put a block on top of another block,d,,,
171,4,One is blue,alyxzksgke,there has to be three blocks and one has to be leaning on a block,d,,,
172,4,One is blue,guldlbnobg,color    ,n,,,
173,4,One is blue,kgelyqjiet,there has to be one for each size no more than two of the same size,d,,,
174,4,One is blue,hxdomhiend,two or more wonky,d,,,
175,4,One is blue,tdozurlsah,one of the tigs are touching another tig,d,,,
176,4,One is blue,ciwzlkkruo,only different colors,d,,,
177,4,One is blue,ojeosgkrxi,all of them can be random,n,,,
178,4,One is blue,yxvfdkoyfy,it should not be in a pattern with the exact same colors,d,,,
179,4,One is blue,xbrfrfvylp,do not put just one on the screen,d,,,
180,4,One is blue,azojgnqhin,at least two of the blocks should be touching and one should be left alone,d,,,
181,4,One is blue,ncfdqtjgzx,at least two or three different colors and two or three sizes,d,,,
182,4,One is blue,zlosupqcpk,each of the yoks has to be a different color and it does not matter what size they are,d,,,
183,4,One is blue,idctlavwmn,there has to be a purple and a red one touching each other,d,,,
184,4,One is blue,wswqcsomwl,there has to be a tig that is either medium or large facing upward and one that is one level smaller than the first one,d,,,
185,4,One is blue,ocxraeygfp,all three of the colors have to be in the picture or touching,u,"touching? Maybe that’s an or, so the rule is d?",,
186,4,One is blue,asqvqojvif,you always need a blue red and green colored block,o,,,
187,4,One is blue,jfzfqqzvmb,a large has to be leaning over one medium,d,,,
188,4,One is blue,onlemdbnfq,they have to be touching each other and they have to lean towards each other and another one has to stand separately,d,,,
189,4,One is blue,aslbalavqe,you cannot use the same color of blocks twice,d,,,
190,5,There is a small blue,vcbkdskksk,i think there has to be a certain type of color with a certain type of color,v,,,
191,5,There is a small blue,mesbxrjdpg,there has to be at least one green and one blue,d,,,
192,5,There is a small blue,zwrcdrrtwi,it has to have at least one small triangle,u,,,
193,5,There is a small blue,hibacpjdfh,they have to be stacked and they cannot be the same size when they are stacked,d,,,
194,5,There is a small blue,ovngoiiqro,i dont know,n,,,
195,5,There is a small blue,jafwjckfvc,a blue block has to be at least partially covered,d,,,
196,5,There is a small blue,blrcjyghdb,all of them have to be facing one direction,d,,,
197,5,There is a small blue,cgilusiyxy,there has to be eight of them and two of them have to be leaning,d,,,
198,5,There is a small blue,wdrpuuyzji,there has to be one that is on top of another and there has to be one of a medium and one of a different color medium size and one of the first medium size color but small,d,,,
199,5,There is a small blue,yjheaxptzh,there cannot be five blocks,d,,,
200,5,There is a small blue,sgygmhiwae,one of them has to be inside the other and three of them can be anywhere except on the other ones,d,,,
201,5,There is a small blue,lwtvybinkx,one bigger tig has to be on top of a smaller tig and there has to be as many tigs on the side as you would like and at least one has to be a different color,d,,,
202,5,There is a small blue,hqdzvryszc,there had to be a green triangle and then a smaller triangle inside of that,d,,,
203,5,There is a small blue,arybnplgmd,one has to be on top of it the others can just lie there,d,,,
204,5,There is a small blue,veyjvlxish,they have to be next to each other or on top of each other,v,"next? Means touching, or just close? What might they mean by next…",,
205,5,There is a small blue,zmtqpimofq,one smaller than the one you used I think you need to have a small one at the corner or only use green and blue,u,,,
206,5,There is a small blue,fyyogkywea,it needs at least one of the small blue blocks,c,,,
207,5,There is a small blue,mkzkmzxgrf,there has to be one of the smaller blue triangles,c,,,
208,5,There is a small blue,reowfvdqqu,the greens have to be on top of each other,d,,,
209,5,There is a small blue,ywlzebnwkb,keep all of the pimwits straight,d,,,
210,5,There is a small blue,rxnythfslb,to face them the right way,d,,,
211,5,There is a small blue,dhpdbgcmjp,one is overlapping another and others are not touching,d,,,
212,5,There is a small blue,umjngnkkko,they all can face the right way there can be three big ones and three little ones on top of the big ones,d,,,
213,5,There is a small blue,shvmpeoloq,there has to be one small blue piece there has to be more than one piece,o,,,
214,5,There is a small blue,qosdofjwwl,there cannot be more than one of a kind,d,,,
215,5,There is a small blue,djldhhbvei,there needs to be a green and a blue that is not touching,d,,,
216,5,There is a small blue,wtoxeowgar,there has to be one tig that is piled on top of another tig and at least two other tigs that are not and they all have to be standing up,d,,,
217,5,There is a small blue,mqxmdwvlai,one block stacked on top of another and some other blocks,d,,,
218,5,There is a small blue,jgruymmhtv,at least one of the blocks is stacked on each other but not the same color as the one it is stacked on,d,,,
219,5,There is a small blue,alyxzksgke,two same color but different sizes the bigger size has to be on top of the small one and the same color but a different size and a different color but the same size as the ones that are not on top of each other,d,,,
220,5,There is a small blue,guldlbnobg,there is patterns for each one,n,,,
221,5,There is a small blue,kgelyqjiet,there has to be five tigs,d,,,
222,5,There is a small blue,hxdomhiend,to have four or more,d,,,
223,5,There is a small blue,tdozurlsah,there sometimes needs to be one that is opened,v,,,
224,5,There is a small blue,ciwzlkkruo,only vertical and upside down,d,,,
225,5,There is a small blue,yxvfdkoyfy,you have to figure out how to make the kovas work,n,,,
226,5,There is a small blue,xbrfrfvylp,you get two colors but they are different and you get two other colors but they have to be different sizes,d,not sure if this does not imply four colours?,,
227,5,There is a small blue,azojgnqhin,two of them have to be next to each other and the others do not touch,d,,,
228,5,There is a small blue,ncfdqtjgzx,octopus idk how to do dis,n,,,
229,5,There is a small blue,zlosupqcpk,three of the pimwits have to be the same color but they cannot all be the same size and you need two other pimwits that are the same color but different sizes,d,,,
230,5,There is a small blue,idctlavwmn,there has to be one inside of one and it has to be standing upright and there has to be another one near it that is also standing upright,d,,,
231,5,There is a small blue,wswqcsomwl,there has to be one smaller pimwit inside of another with two or three other ones,d,,,
232,5,There is a small blue,dovkssrwtq,there has to be a big triangle with a small triangle inside of it and two medium sized triangles and two small triangles and the colors do not matter,d,,,
233,5,There is a small blue,ocxraeygfp,two kovas need to be touching each other and there needs to be one small block,d,,,
234,5,There is a small blue,hcpsmvwzlp,there has to be three of one color,d,,,
235,5,There is a small blue,asqvqojvif,there has to be more than three of them,d,,,
236,5,There is a small blue,jfzfqqzvmb,at least two or more have to be stacked and at least one has to be separate,d,,,
237,5,There is a small blue,onlemdbnfq,there has to be a block on top of a block and two different color medium sized blocks and one small block,d,,,
238,5,There is a small blue,aslbalavqe,there always has to be a smaller cube inside of a bigger cube and also if you lay two cubes down they cannot be facing each other,d,,,
239,1,There is a red,cbkluyqyam,must contain more than two colors including red.,o,,Codes:,
240,1,There is a red,cvtwudraqm,I do not know the rule,n,,c- completely correct ,
241,1,There is a red,vlockciwzp,There has to be at least two reds and one green,o,,"o - ""overfit"" correct + extra",
242,1,There is a red,kgbijmrczj,Just has to have a red one somewhere.,c,,"u- ""underfit"" partial",
243,1,There is a red,vcuqgjegsa,Yoks must have at least one red and one green of any size.,o,,d - different rule,
244,1,There is a red,bhdujwkcbn,Must contain red of any size,c,,n - no rule,
245,1,There is a red,pvydutloyc,There must be at least one red pimwit.,c,,m - multiple rules,
246,1,There is a red,oppkyacsnu,The yoks make stars if there is at least one red block.,c,,v - vague (ambiguously specified rule),
247,1,There is a red,diwvecfaqr,There must be green and red colors touching each other,o,,,
248,1,There is a red,xgkqtbnuol,Any cones stacked vertically atop each other as long as its not more than 2 of the same color in the stack.,d,,,
249,1,There is a red,gfskfcekgs,I believe the rule is that there must be at least one green and one red object,o,,,
250,1,There is a red,ueeodbekmp,A pimwit must contain at least two red blocks.,o,,,
251,1,There is a red,qqvfwssvmb,There must be at least one red block.,c,,,
252,1,There is a red,pcebewminm,when there is any two block facing in same direction,d,,,
253,1,There is a red,cmnvimzjrf,There must be at least one red block.,c,,,
254,1,There is a red,eprumtunkk,Any two different color shapes,d,,,
255,1,There is a red,garvmmwjwh,"I think that in for bemmies, stars come out as long as there is a red one the picture. I thought the rule was that they had to be stacked, but I think it was just having a red one in the picture that did it. ",c,,,
256,1,There is a red,oozefhavib,I think if there is a figure inside the red figure stars will come out,c,,,
257,1,There is a red,psbaqbrwjt,At least 1 red object,c,,,
258,1,There is a red,wsuhwfjzbr,There needs to be at least one red block.,c,,,
259,1,There is a red,aezlpkseyg,two on top of each other and one turned sideways.,d,,,
260,1,There is a red,uizgidkvdm,Stars seem to come out of the tigs if there is at least one red tig.,c,,,
261,1,There is a red,nvnrkksmit,One symbol on side and a red in the block,o,,,
262,1,There is a red,walbpcrtau,There should be at least one large red item.,o,,,
263,1,There is a red,toafksdbom,There has to be at least one kova of any size. ,d,,,
264,1,There is a red,xcmvwgxolf,there needs to be one red piece,o,,,
265,1,There is a red,agkyeueoas,There must be at least one red block in the set for the stars to come out.,c,,,
266,1,There is a red,grvepgozqb,Stars will come out when a red kovas is present.,c,,,
267,1,There is a red,hccfdfsuum,only one block has to be small,d,,,
268,1,There is a red,geopmvlndi,I think there has to be at least 1 red pimwit in order for it to work.,c,,,
269,1,There is a red,zbggjxcvuu,a larger one over top of a smaller one,d,,,
270,1,There is a red,iadryrexqo,"I think that tigs show a star if there is at least one red object of any size, regardless if its on its side or upright and regardless of how many other non-red objects there are.",c,,,
271,1,There is a red,vltlpgocqb,A red block has to be touching another block,o,,,
272,1,There is a red,hxgoohdfvi,Stars will come out if any color or amount of block as long as at least two are touching each other.,d,,,
273,1,There is a red,conmvlhlgo,Blocks of different colors must be touching.,d,,,
274,1,There is a red,mznmogndzw,You have to have one color on top of the other and have one red standing on its short side not the long sides. There can be any color on top of each other. The size can be any size as long as there is a red one standing up right pointing up with nothing on top of it.,o,,,
275,1,There is a red,rlthgmsegt,It seemed like I had to have a larger shape for the stars to come out. At least one larger shape was needed and the positioning did not matter,d,,,
276,1,There is a red,xefdssuqsx,I think the rule is that the pimwit will work when there is any red triangle (no matter the size or position of it).,c,,,
277,1,There is a red,mikejpbltc,As long as you have a red yok then stars will come out of them. ,c,,,
278,1,There is a red,wxghchdwtc,I do not know.,n,,,
279,1,There is a red,rzrpjzwpua,There has to be a red triangle in the scene,c,,,
280,1,There is a red,zblqdccjyg,At least 2 kovas are stacked on eachother and both red and green kovas are in the picture. ,o,,,
281,1,There is a red,nsycrlsseg,there is at least one red triangle.,c,,,
282,1,There is a red,qoggilfnyb,i dont know,n,,,
283,1,There is a red,azkqsplqvx,The only rule here (I think) is that there have to be at least two different colored blocks.,d,,,
284,1,There is a red,gxdhieftck,There must be at least one green block and one red block,o,,,
285,1,There is a red,zvqbvbzaox,There needs to be a red triangle.,c,,,
286,1,There is a red,fwbgjmzbof,There must be at least one red block,c,,,
287,1,There is a red,rdsmyidehb,Make your designs lay on the ground as neatly as you can to keep the stars from coming out.,n,,,
288,2,All are the same size,cbkluyqyam,must contain at least three blocks.,d,,,
289,2,All are the same size,cvtwudraqm,When there are i cone from each color of the same size,d,,,
290,2,All are the same size,vlockciwzp,I think the rule is that there has to be two green ones and one of another color,d,,,
291,2,All are the same size,kgbijmrczj,"As long as there is a box of one color, it seems the stars will come out.",d,,,
292,2,All are the same size,vcuqgjegsa,Bemmies must have two greens and one red of any size.,d,,,
293,2,All are the same size,bhdujwkcbn,2 large green items,d,,,
294,2,All are the same size,pvydutloyc,There must be at least one red bemmie.,d,,,
295,2,All are the same size,oppkyacsnu,The bemmies make stars only if they are all the same size.,c,,,
296,2,All are the same size,diwvecfaqr,must have green and red colors,d,,,
297,2,All are the same size,xgkqtbnuol,"Two cones of one color, and one of another, standing vertically.",d,,,
298,2,All are the same size,gfskfcekgs,I believe they all have to be the same size,c,,,
299,2,All are the same size,ueeodbekmp,There must be one block of the same size of two different colors. One of the matching blocks must not be inside another block. ,d,,,
300,2,All are the same size,qqvfwssvmb,all of the blocks must be of the same size.,c,,,
301,2,All are the same size,pcebewminm,"when all are small block
when there is two blue block",d,,,
302,2,All are the same size,cmnvimzjrf,"There can be green and red blocks only, no purple. If green and red are together, they must all be the same size.",d,,,
303,2,All are the same size,eprumtunkk,I have no idea ,n,,,
304,2,All are the same size,garvmmwjwh,"I think the yoks can be any color, but I suspect that they cannot be stacked on each other",d,,,
305,2,All are the same size,oozefhavib,They need to be the same size  for the stars to come out,c,,,
306,2,All are the same size,psbaqbrwjt,All objects must be the same size,c,,,
307,2,All are the same size,wsuhwfjzbr,I do not know the special rule for tigs.,n,,,
308,2,All are the same size,aezlpkseyg,Two triangles side by side with another triangle to the side of them with a space in between. all of the same size.,o,,,
309,2,All are the same size,uizgidkvdm,Stars seem to come out of the yoks if they are all the same size.,c,,,
310,2,All are the same size,nvnrkksmit,"All the symbols have to be the same size,",c,,,
311,2,All are the same size,walbpcrtau,The characters should be of same size.,c,,,
312,2,All are the same size,toafksdbom,"Tigs will come out when two large ones, no matter the color, are touching. ",d,,,
313,2,All are the same size,xcmvwgxolf,all pieces need to be the same size,c,,,
314,2,All are the same size,agkyeueoas,The blocks must all be the same size for the stars to come out.,c,,,
315,2,All are the same size,grvepgozqb,Stars will come out when no more than two colors of pimwits are present.,d,,,
316,2,All are the same size,hccfdfsuum,All blocks should be same size,c,,,
317,2,All are the same size,geopmvlndi,"I think they need to be all the same size in order for the stars to come out. I thought the colors might matter, but Im not sure.",c,,,
318,2,All are the same size,zbggjxcvuu,"same size ones pointing upwards
",o,,,
319,2,All are the same size,iadryrexqo,"I think bemmies show stars if each of the blocks is the same size, regardless of color, orientation(such as upright or on its side) or how many objects there are, as long as they are exactly the same size.",c,,,
320,2,All are the same size,vltlpgocqb,No more than 2 of the same color,d,,,
321,2,All are the same size,hxgoohdfvi,Any amount or color of blocks will shoot stars as long as they are not touching each other.,d,,,
322,2,All are the same size,conmvlhlgo,All the blocks are the same size.,c,,,
323,2,All are the same size,mznmogndzw,There has to be a red and two green angles pointing up and not on their sides. ,d,,,
324,2,All are the same size,rlthgmsegt,"It seemed like if it was a large triangle or if it included green or blue, stars always came out",d,,,
